"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Algeria","1993","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","1356","500","Weight in kilograms","500"
"Algeria","1993","060220","Trees, edible fruit or nut, shrubs and bushes","Import","21822","18699","Weight in kilograms","18699"
"Algeria","1993","060291","Mushroom spawn","Import","48986","14250","Weight in kilograms","14250"
"Algeria","1993","060390","Cut flowers and flower buds for bouquets, dried, etc.","Import","1236","1000","Weight in kilograms","1000"
"Algeria","1993","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","1026","597","Weight in kilograms","597"
"Algeria","1992","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","905","62","Weight in kilograms","62"
"Algeria","1992","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","3604","507","Weight in kilograms","507"
"Algeria","1992","060210","Cuttings and slips, not rooted","Import","3252","218","Weight in kilograms","218"
"Algeria","1992","060220","Trees, edible fruit or nut, shrubs and bushes","Import","1014","296","Weight in kilograms","296"
"Algeria","1992","060291","Mushroom spawn","Import","59400","16574","Weight in kilograms","16574"
"Algeria","1992","060299","Plants, live (including their roots),nes","Import","1130944","118975","Weight in kilograms","118975"
"Algeria","1992","060390","Cut flowers and flower buds for bouquets, dried, etc.","Import","226","119","Weight in kilograms","119"
"Algeria","1992","060499","Foliage,branches, for bouquets, etc. - except fresh","Import","47003","17000","Weight in kilograms","17000"
"Argentina","1993","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Import","596127","238033","Weight in kilograms","238033"
"Argentina","1993","060110","Bulbs, tubers, corms, crowns and rhizomes, dormant","Export","10022","778","Weight in kilograms","778"
"Argentina","1993","060120","Bulbs, tubers, corms etc in growth, chicory plants","Import","31720","3170","Weight in kilograms","3170"
"Argentina","1993","060120","Bulbs, tubers, corms etc in growth, chicory plants","Export","15","6","Weight in kilograms","6"
"Argentina","1993","060210","Cuttings and slips, not rooted","Import","185133","36329","Weight in kilograms","36329"
"Argentina","1993","060210","Cuttings and slips, not rooted","Export","15","7","Weight in kilograms","7"
"Argentina","1993","060220","Trees, edible fruit or nut, shrubs and bushes","Import","1325161","152586","Weight in kilograms","152586"
"Argentina","1993","060220","Trees, edible fruit or nut, shrubs and bushes","Export","422975","95173","Weight in kilograms","95173"
"Argentina","1993","060230","Rhododendrons and azaleas","Import","4206","2917","Weight in kilograms","2917"
"Argentina","1993","060240","Roses","Import","14757","843","Weight in kilograms","843"
"Argentina","1993","060291","Mushroom spawn","Import","514","82","Weight in kilograms","82"
"Argentina","1993","060299","Plants, live (including their roots),nes","Import","497181","248246","Weight in kilograms","248246"
"Argentina","1993","060299","Plants, live (including their roots),nes","Export","183632","104161","Weight in kilograms","104161"
"Argentina","1993","060310","Cut flowers and flower buds for bouquets, etc., fresh","Import","3431567","968330","Weight in kilograms","968330"
"Argentina","1993","060390","Cut flowers and flower buds for bouquets, dried, etc.","Import","216917","20560","Weight in kilograms","20560"
